"Страна","Год","Число_студентов","Годовое_изменение"
Liechtenstein,2020,4,-2
Liechtenstein,2021,3,-1
Lithuania,2000,41,
Lithuania,2001,34,-7
Lithuania,2002,35,1
Lithuania,2003,37,2
Lithuania,2004,28,-9
Lithuania,2005,32,4
Lithuania,2006,31,-1
Lithuania,2007,41,10
Lithuania,2008,42,1
Lithuania,2009,48,6
Lithuania,2010,60,12
Lithuania,2011,76,16
Lithuania,2012,135,59
Lithuania,2013,236,101
Lithuania,2014,229,-7
Lithuania,2015,182,-47
Lithuania,2016,160,-22
Lithuania,2017,191,31
Lithuania,2018,179,-12
Lithuania,2019,0,-179
Lithuania,2020,176,176
Lithuania,2021,265,89
Lithuania,2022,317,52
Lithuania,2023,375,58
Lithuania,2024,393,18
Luxembourg,2006,7,
Luxembourg,2008,19,12
Luxembourg,2010,26,7
Luxembourg,2012,6,-20
Luxembourg,2013,36,30
Luxembourg,2014,45,9
Luxembourg,2015,55,10
Luxembourg,2016,49,-6
Luxembourg,2017,45,-4
Luxembourg,2018,57,12
Luxembourg,2019,58,1
Luxembourg,2020,56,-2
Luxembourg,2021,57,1
Luxembourg,2022,58,1
Luxembourg,2023,77,19
Luxembourg,2024,87,10
Macao,2003,0,
Macao,2004,1,1
Macao,2005,0,-1
Macao,2006,1,1
Macao,2007,1,0
Macao,2008,1,0
Macao,2009,2,1
Macao,2010,3,1
Macao,2011,9,6
Macao,2012,9,0
Macao,2013,7,-2
Macao,2014,5,-2
Macao,2015,7,2
Macao,2016,8,1
Macao,2017,4,-4
Macao,2018,2,-2
Macao,2019,2,0
Macao,2020,3,1
Macao,2021,2,-1
Macao,2022,2,0
Macao,2023,1,-1
Macao,2024,5,4
Malaysia,2000,32,
Malaysia,2001,4,-28
Malaysia,2002,25,21
Malaysia,2003,34,9
Malaysia,2004,31,-3
Malaysia,2006,33,2
Malaysia,2007,34,1
Malaysia,2008,45,11
Malaysia,2009,42,-3
Malaysia,2010,56,14
Malaysia,2011,76,20
Malaysia,2012,89,13
Malaysia,2014,168,79
Malaysia,2015,132,-36
Malaysia,2016,154,22
Malaysia,2017,144,-10
Malaysia,2019,14,-130
Malaysia,2020,17,3
Malaysia,2021,67,50
Malaysia,2022,70,3
Malaysia,2023,117,47
Malaysia,2024,220,103
Malta,2000,1,
Malta,2001,54,53
Malta,2002,39,-15
Malta,2003,57,18
Malta,2004,45,-12
Malta,2005,0,-45
Malta,2006,42,42
Malta,2008,35,-7
Malta,2009,38,3
Malta,2011,25,-13
Malta,2012,29,4
Malta,2013,34,5
Malta,2014,40,6
Malta,2015,34,-6
Malta,2016,33,-1
Malta,2017,32,-1
Malta,2018,29,-3
Malta,2019,30,1
Malta,2020,28,-2
Malta,2021,26,-2
Malta,2022,32,6
Malta,2023,40,8
Mauritius,2004,0,
Mauritius,2006,0,0
Mauritius,2010,0,0
Mauritius,2011,1,1
Mauritius,2012,1,0
Mauritius,2013,2,1
Mauritius,2014,1,-1
Mauritius,2015,1,0
Mauritius,2016,2,1
Mauritius,2017,1,-1
Mauritius,2020,0,-1
Mauritius,2021,0,0
Mauritius,2022,2,2
"Moldova, Republic of",2001,43,
"Moldova, Republic of",2002,60,17
"Moldova, Republic of",2003,71,11
"Moldova, Republic of",2004,137,66
"Moldova, Republic of",2005,0,-137
"Moldova, Republic of",2006,174,174
"Moldova, Republic of",2007,181,7
"Moldova, Republic of",2008,168,-13
"Moldova, Republic of",2009,141,-27
"Moldova, Republic of",2010,141,0
"Moldova, Republic of",2011,118,-23
"Moldova, Republic of",2012,113,-5
"Moldova, Republic of",2013,103,-10
"Moldova, Republic of",2014,83,-20
"Moldova, Republic of",2015,74,-9
"Moldova, Republic of",2016,70,-4
"Moldova, Republic of",2017,54,-16
"Moldova, Republic of",2018,58,4
"Moldova, Republic of",2019,59,1
"Moldova, Republic of",2020,53,-6
"Moldova, Republic of",2021,60,7
"Moldova, Republic of",2022,81,21
"Moldova, Republic of",2023,112,31
"Moldova, Republic of",2024,125,13
Monaco,2017,0,
Monaco,2020,12,12
Monaco,2021,12,0
Monaco,2022,10,-2
Monaco,2023,10,0
Monaco,2024,13,3
Mongolia,2000,94,
Mongolia,2001,87,-7
Mongolia,2003,47,-40
Mongolia,2004,162,115
Mongolia,2005,429,267
Mongolia,2006,623,194
Mongolia,2007,553,-70
Mongolia,2008,519,-34
Mongolia,2009,454,-65
Mongolia,2010,411,-43
Mongolia,2011,395,-16
Mongolia,2012,372,-23
Mongolia,2013,287,-85
Mongolia,2014,250,-37
Mongolia,2015,254,4
Mongolia,2016,206,-48
Mongolia,2017,182,-24
Mongolia,2018,180,-2
Mongolia,2019,236,56
Mongolia,2022,183,-53
Mongolia,2023,278,95
Mongolia,2024,310,32
Morocco,2003,0,
Morocco,2004,0,0
Morocco,2005,0,0
Morocco,2006,0,0
Morocco,2007,3,3
Morocco,2008,6,3
Morocco,2009,3,-3
Morocco,2010,1,-2
Morocco,2013,2,1
Morocco,2014,2,0
Morocco,2015,5,3
Morocco,2016,11,6
Morocco,2017,5,-6
Morocco,2018,11,6
Morocco,2019,15,4
Morocco,2020,10,-5
Morocco,2021,10,0
Morocco,2022,9,-1
Morocco,2023,9,0
Morocco,2024,8,-1
Mozambique,2011,0,
Mozambique,2013,2,2
Mozambique,2014,4,2
Mozambique,2016,4,0
Mozambique,2017,0,-4
Mozambique,2018,2,2
Namibia,2002,0,
Namibia,2003,0,0
Namibia,2005,0,0
Namibia,2006,0,0
Namibia,2008,0,0
Namibia,2012,0,0
Namibia,2013,1,1
Namibia,2014,0,-1
Namibia,2015,0,0
Namibia,2016,0,0
Namibia,2017,0,0
Namibia,2018,1,1
Namibia,2019,1,0
Namibia,2020,2,1
Namibia,2022,0,-2
Netherlands,2000,175,
Netherlands,2001,227,52
Netherlands,2002,255,28
Netherlands,2003,271,16
Netherlands,2004,170,-101
Netherlands,2005,291,121
Netherlands,2006,237,-54
Netherlands,2007,184,-53
Netherlands,2008,211,27
Netherlands,2009,199,-12
Netherlands,2010,199,0
Netherlands,2011,336,137
Netherlands,2012,556,220
Netherlands,2013,616,60
Netherlands,2014,668,52
Netherlands,2015,794,126
Netherlands,2016,879,85
Netherlands,2017,882,3
Netherlands,2018,947,65
Netherlands,2019,877,-70
New Zealand,2000,20,
New Zealand,2001,29,9
New Zealand,2002,58,29
New Zealand,2003,101,43
New Zealand,2004,174,73
New Zealand,2005,203,29
New Zealand,2007,272,69
New Zealand,2008,299,27
New Zealand,2009,284,-15
New Zealand,2010,312,28
New Zealand,2011,338,26
New Zealand,2012,336,-2
New Zealand,2013,325,-11
New Zealand,2014,312,-13
New Zealand,2015,320,8
New Zealand,2016,315,-5
New Zealand,2017,342,27
New Zealand,2018,393,51
New Zealand,2019,338,-55
New Zealand,2020,269,-69
New Zealand,2021,156,-113
New Zealand,2022,99,-57
New Zealand,2023,206,107
New Zealand,2024,280,74
Nicaragua,2023,4,
North Macedonia,2000,0,
North Macedonia,2001,1,1
North Macedonia,2002,0,-1
North Macedonia,2003,0,0
North Macedonia,2004,0,0
North Macedonia,2005,0,0
North Macedonia,2006,1,1
North Macedonia,2007,1,0
North Macedonia,2008,1,0
North Macedonia,2009,0,-1
North Macedonia,2011,0,0
North Macedonia,2012,1,1
North Macedonia,2013,1,0
North Macedonia,2014,0,-1
North Macedonia,2015,1,1
North Macedonia,2017,5,4
North Macedonia,2018,1,-4
North Macedonia,2019,3,2
North Macedonia,2020,0,-3
North Macedonia,2021,0,0
North Macedonia,2022,0,0
North Macedonia,2023,0,0
Norway,2000,339,
Norway,2001,335,-4
Norway,2002,458,123
Norway,2003,544,86
Norway,2004,674,130
Norway,2005,750,76
Norway,2006,772,22
Norway,2007,798,26
Norway,2008,868,70
Norway,2009,943,75
Norway,2010,894,-49
Norway,2011,1004,110
Norway,2012,1061,57
Norway,2013,624,-437
Norway,2014,608,-16
Norway,2015,548,-60
Norway,2016,516,-32
Norway,2017,369,-147
Norway,2018,481,112
Norway,2019,227,-254
Norway,2020,306,79
Norway,2021,272,-34
Norway,2022,285,13
Norway,2023,251,-34
Norway,2024,242,-9
Oman,2007,0,
Oman,2008,0,0
Oman,2009,0,0
Oman,2010,0,0
Oman,2011,0,0
Oman,2013,1,1
Oman,2014,0,-1
Oman,2015,0,0
Oman,2016,1,1
Oman,2017,3,2
Oman,2018,3,0
Oman,2019,3,0
Oman,2020,3,0
Oman,2021,5,2
Oman,2023,1,-4
Oman,2024,3,2
Panama,2019,2,
Panama,2020,4,2
Panama,2021,5,1
Panama,2022,6,1
Philippines,2001,2,
Philippines,2002,3,1
Philippines,2003,2,-1
Philippines,2004,0,-2
Philippines,2005,1,1
Philippines,2006,0,-1
Philippines,2008,1,1
Philippines,2024,34,33
Poland,2000,262,
Poland,2001,289,27
Poland,2002,291,2
Poland,2003,346,55
Poland,2004,381,35
Poland,2005,452,71
Poland,2006,456,4
Poland,2007,488,32
Poland,2008,459,-29
Poland,2009,494,35
Poland,2010,543,49
Poland,2011,476,-67
Poland,2012,553,77
Poland,2013,585,32
Poland,2014,754,169
Poland,2015,898,144
Poland,2016,977,79
Poland,2017,1042,65
Poland,2018,799,-243
Poland,2019,792,-7
Poland,2020,1038,246
Poland,2021,1431,393
Poland,2022,1570,139
Poland,2023,1305,-265
Poland,2024,1118,-187
Portugal,2000,10,
Portugal,2002,18,8
Portugal,2003,28,10
Portugal,2004,37,9
Portugal,2005,55,18
Portugal,2006,65,10
Portugal,2007,85,20
Portugal,2008,60,-25
Portugal,2009,50,-10
Portugal,2010,55,5
Portugal,2011,83,28
Portugal,2012,111,28
Portugal,2013,106,-5
Portugal,2014,81,-25
Portugal,2015,90,9
Portugal,2016,82,-8
Portugal,2017,99,17
Portugal,2018,88,-11
Portugal,2019,95,7
Portugal,2020,129,34
Portugal,2021,130,1
Portugal,2022,140,10
Portugal,2023,211,71
Qatar,2002,2,
Qatar,2003,0,-2
Qatar,2004,3,3
Qatar,2005,0,-3
Qatar,2008,5,5
Qatar,2009,4,-1
Qatar,2010,6,2
Qatar,2011,9,3
Qatar,2012,4,-5
Qatar,2013,5,1
Qatar,2014,6,1
Qatar,2015,8,2
Qatar,2016,4,-4
Qatar,2017,8,4
Qatar,2018,5,-3
Qatar,2019,8,3
Qatar,2020,12,4
Qatar,2021,16,4
Qatar,2022,16,0
Qatar,2023,25,9
Qatar,2024,26,1
Romania,2000,25,
Romania,2001,19,-6
Romania,2002,12,-7
Romania,2003,9,-3
Romania,2004,9,0
Romania,2005,16,7
Romania,2006,16,0
Romania,2007,14,-2
Romania,2008,2,-12
Romania,2009,14,12
Romania,2010,15,1
Romania,2011,11,-4
Romania,2013,25,14
Romania,2014,22,-3
Romania,2015,15,-7
Romania,2016,25,10
Romania,2017,35,10
Romania,2018,30,-5
Romania,2019,27,-3
Romania,2020,36,9
Romania,2021,44,8
Romania,2022,46,2
Romania,2023,58,12
Rwanda,2012,2,
Rwanda,2013,0,-2
Rwanda,2014,0,0
Rwanda,2015,0,0
Rwanda,2017,0,0
Rwanda,2018,0,0
Rwanda,2019,0,0
Rwanda,2020,0,0
Rwanda,2022,0,0
Rwanda,2023,0,0
Rwanda,2024,0,0
Saudi Arabia,2003,120,
Saudi Arabia,2004,148,28
Saudi Arabia,2005,116,-32
Saudi Arabia,2006,0,-116
Saudi Arabia,2007,78,78
Saudi Arabia,2008,83,5
Saudi Arabia,2009,88,5
Saudi Arabia,2010,119,31
Saudi Arabia,2011,225,106
Saudi Arabia,2012,300,75
Saudi Arabia,2013,520,220
Saudi Arabia,2014,601,81
Saudi Arabia,2015,572,-29
Saudi Arabia,2016,584,12
Saudi Arabia,2017,577,-7
Saudi Arabia,2018,537,-40
Saudi Arabia,2019,356,-181
Saudi Arabia,2020,444,88
Saudi Arabia,2021,444,0
Saudi Arabia,2022,479,35
Saudi Arabia,2024,604,125
Senegal,2023,0,
Senegal,2024,2,2
Serbia,2007,10,
Serbia,2008,18,8
Serbia,2009,20,2
Serbia,2010,26,6
Serbia,2011,22,-4
Serbia,2012,24,2
Serbia,2013,24,0
Serbia,2014,26,2
Serbia,2015,93,67
Serbia,2016,93,0
Serbia,2017,120,27
Serbia,2018,123,3
Serbia,2019,130,7
Serbia,2020,140,10
Serbia,2021,130,-10
Serbia,2022,131,1
Serbia,2023,189,58
Serbia,2024,342,153
Sint Maarten (Dutch part),2012,1,
Sint Maarten (Dutch part),2014,0,-1
Sint Maarten (Dutch part),2015,0,0
Sint Maarten (Dutch part),2017,0,0
Slovakia,2000,28,
Slovakia,2001,35,7
Slovakia,2002,47,12
Slovakia,2003,32,-15
Slovakia,2004,26,-6
Slovakia,2005,24,-2
Slovakia,2006,14,-10
Slovakia,2007,21,7
Slovakia,2008,35,14
Slovakia,2009,40,5
Slovakia,2010,28,-12
Slovakia,2011,23,-5
Slovakia,2012,25,2
Slovakia,2013,63,38
Slovakia,2014,83,20
Slovakia,2015,99,16
Slovakia,2016,106,7
Slovakia,2017,99,-7
Slovakia,2018,138,39
Slovakia,2019,228,90
Slovakia,2020,370,142
Slovakia,2021,580,210
Slovakia,2022,714,134
Slovakia,2023,961,247
Slovakia,2024,1253,292
Slovenia,2000,10,
Slovenia,2001,7,-3
Slovenia,2002,16,9
Slovenia,2003,17,1
Slovenia,2004,9,-8
Slovenia,2005,10,1
Slovenia,2006,11,1
Slovenia,2007,14,3
Slovenia,2008,19,5
Slovenia,2009,28,9
Slovenia,2010,23,-5
Slovenia,2011,25,2
Slovenia,2012,37,12
Slovenia,2013,38,1
Slovenia,2014,40,2
Slovenia,2015,47,7
Slovenia,2016,56,9
Slovenia,2017,90,34
Slovenia,2018,111,21
Slovenia,2019,160,49
Slovenia,2020,192,32
Slovenia,2021,227,35
Slovenia,2022,235,8
Slovenia,2023,356,121
South Africa,2008,0,
South Africa,2011,62,62
South Africa,2012,23,-39
South Africa,2013,30,7
South Africa,2014,26,-4
South Africa,2015,27,1
South Africa,2016,31,4
South Africa,2017,34,3
South Africa,2018,34,0
South Africa,2019,27,-7
South Africa,2020,20,-7
South Africa,2021,19,-1
South Africa,2022,13,-6
South Africa,2023,9,-4
Spain,2000,93,
Spain,2001,112,19
Spain,2002,148,36
Spain,2003,218,70
Spain,2004,61,-157
Spain,2005,77,16
Spain,2006,135,58
Spain,2007,136,1
Spain,2008,329,193
Spain,2009,485,156
Spain,2010,643,158
Spain,2011,665,22
Spain,2012,718,53
Spain,2013,733,15
Spain,2016,485,-248
Spain,2017,597,112
Spain,2018,655,58
Spain,2019,682,27
Spain,2020,670,-12
Spain,2021,678,8
Spain,2022,717,39
Spain,2023,781,64
Spain,2024,798,17
Sri Lanka,2013,0,
Sri Lanka,2014,0,0
Sri Lanka,2015,0,0
Sri Lanka,2016,0,0
Sri Lanka,2017,0,0
Sri Lanka,2018,0,0
Sri Lanka,2019,1,1
Sri Lanka,2020,0,-1
Sri Lanka,2021,0,0
Sri Lanka,2022,0,0
Sri Lanka,2023,0,0
Sweden,2000,462,
Sweden,2001,524,62
Sweden,2002,584,60
Sweden,2003,643,59
Sweden,2004,54,-589
Sweden,2005,67,13
Sweden,2006,37,-30
Sweden,2007,65,28
Sweden,2008,255,190
Sweden,2009,385,130
Sweden,2010,471,86
Sweden,2011,643,172
Sweden,2012,512,-131
Sweden,2013,420,-92
Sweden,2014,390,-30
Sweden,2015,364,-26
Sweden,2016,357,-7
Sweden,2017,340,-17
Sweden,2018,334,-6
Sweden,2019,303,-31
Sweden,2020,289,-14
Sweden,2021,279,-10
Sweden,2022,299,20
Sweden,2023,292,-7
Sweden,2024,307,15
Switzerland,2000,327,
Switzerland,2001,377,50
Switzerland,2002,458,81
Switzerland,2003,495,37
Switzerland,2004,571,76
Switzerland,2005,609,38
Switzerland,2006,573,-36
Switzerland,2007,609,36
Switzerland,2008,638,29
Switzerland,2009,675,37
Switzerland,2010,719,44
Switzerland,2011,792,73
Switzerland,2012,873,81
Switzerland,2013,594,-279
Switzerland,2014,1021,427
Switzerland,2015,1011,-10
Switzerland,2016,975,-36
Switzerland,2017,969,-6
Switzerland,2018,934,-35
Switzerland,2019,954,20
Switzerland,2020,979,25
Switzerland,2021,1026,47
Switzerland,2022,1003,-23
Switzerland,2023,1025,22
Switzerland,2024,1048,23
Tajikistan,2000,161,
Tajikistan,2001,101,-60
Tajikistan,2002,1451,1350
Tajikistan,2003,599,-852
Tajikistan,2004,297,-302
Tajikistan,2005,88,-209
Tajikistan,2006,94,6
Tajikistan,2007,111,17
Tajikistan,2008,162,51
Tajikistan,2009,142,-20
Tajikistan,2010,126,-16
Tajikistan,2011,126,0
Tajikistan,2012,105,-21
Tajikistan,2013,107,2
Tajikistan,2014,92,-15
Tajikistan,2015,108,16
Tajikistan,2016,121,13
Tajikistan,2017,111,-10
"Tanzania, United Republic of",2001,71,
"Tanzania, United Republic of",2003,37,-34
"Tanzania, United Republic of",2004,40,3
"Tanzania, United Republic of",2021,0,-40
"Tanzania, United Republic of",2022,0,0
"Tanzania, United Republic of",2024,3,3
Thailand,2001,15,
Thailand,2002,20,5
Thailand,2004,14,-6
Thailand,2005,20,6
Thailand,2006,24,4
Thailand,2007,22,-2
Thailand,2008,30,8
Thailand,2009,35,5
Thailand,2010,47,12
Thailand,2011,51,4
Thailand,2012,61,10
Thailand,2015,105,44
Thailand,2016,149,44
Thailand,2020,62,-87
Thailand,2022,110,48
Thailand,2023,113,3
Thailand,2024,177,64
Trinidad and Tobago,2000,0,
Trinidad and Tobago,2001,0,0
Trinidad and Tobago,2002,0,0
Trinidad and Tobago,2003,0,0
Trinidad and Tobago,2004,0,0
Trinidad and Tobago,2019,1,1
Trinidad and Tobago,2021,1,0
Trinidad and Tobago,2022,0,-1
Trinidad and Tobago,2023,0,0
Tunisia,2000,0,
Tunisia,2001,0,0
Tunisia,2002,0,0
Tunisia,2013,7,7
Tunisia,2015,0,-7
Tunisia,2016,1,1
Tunisia,2017,2,1
Tunisia,2018,2,0
Tunisia,2020,0,-2
Tunisia,2021,0,0
Tunisia,2022,1,1
Tunisia,2023,1,0
Turkmenistan,2014,1,
Turkmenistan,2019,1,0
Turkmenistan,2020,1,0
Turkmenistan,2021,1,0
Ukraine,2005,3673,
Ukraine,2006,4362,689
Ukraine,2007,4534,172
Ukraine,2008,4734,200
Ukraine,2009,4717,-17
Ukraine,2010,3931,-786
Ukraine,2011,3453,-478
Ukraine,2012,2990,-463
Ukraine,2013,2878,-112
Ukraine,2014,2930,52
Ukraine,2015,1814,-1116
Ukraine,2016,1509,-305
Ukraine,2017,1114,-395
Ukraine,2018,783,-331
Ukraine,2019,657,-126
Ukraine,2020,623,-34
Ukraine,2021,1191,568
Ukraine,2023,655,-536
Ukraine,2024,651,-4
United Arab Emirates,2011,331,
United Arab Emirates,2012,286,-45
United States,2005,5299,
United States,2013,4688,-611
United States,2014,4885,197
United States,2015,5203,318
United States,2016,5156,-47
United States,2017,5081,-75
United States,2018,5074,-7
United States,2020,4901,-173
United States,2021,4466,-435
United States,2023,4543,77
Uzbekistan,2006,16,
Uzbekistan,2007,30,14
Uzbekistan,2008,56,26
Uzbekistan,2009,60,4
Uzbekistan,2010,64,4
Uzbekistan,2011,52,-12
Uzbekistan,2012,87,35
Uzbekistan,2013,108,21
Uzbekistan,2014,115,7
Uzbekistan,2015,129,14
Uzbekistan,2016,134,5
Uzbekistan,2017,133,-1
Uzbekistan,2018,174,41
Uzbekistan,2019,220,46
Uzbekistan,2021,442,222
Uzbekistan,2022,572,130
Uzbekistan,2023,648,76
Uzbekistan,2024,750,102
Viet Nam,2000,7,
Viet Nam,2001,8,1
Viet Nam,2002,13,5
Viet Nam,2003,0,-13
Viet Nam,2005,2,2
Viet Nam,2007,2,0
Viet Nam,2008,8,6
Viet Nam,2010,7,-1
Viet Nam,2011,7,0
Viet Nam,2012,4,-3
Viet Nam,2013,17,13
Viet Nam,2014,5,-12
Viet Nam,2015,0,-5
Viet Nam,2016,2,2
Viet Nam,2017,2,0
Viet Nam,2019,7,5
Viet Nam,2020,12,5
Viet Nam,2021,22,10
Viet Nam,2022,22,0
