"Страна","Год","Число_студентов","Темп_роста"
Germany,2013,9480,—
Germany,2014,9668,"2.0%"
Germany,2015,9953,"2.9%"
Germany,2016,9711,-2.4%
Germany,2017,9620,-0.9%
Germany,2018,10121,"5.2%"
Germany,2019,9646,-4.7%
Germany,2020,11055,"14.6%"
Germany,2021,11149,"0.9%"
Germany,2022,11369,"2.0%"
Germany,2023,11024,-3.0%
Germany,2024,10974,-0.5%
Czechia,2000,110,—
Czechia,2001,160,"45.5%"
Czechia,2002,203,"26.9%"
Czechia,2003,305,"50.2%"
Czechia,2004,407,"33.4%"
Czechia,2005,609,"49.6%"
Czechia,2006,782,"28.4%"
Czechia,2007,1088,"39.1%"
Czechia,2008,1405,"29.1%"
Czechia,2009,1768,"25.8%"
Czechia,2010,2297,"29.9%"
Czechia,2011,2588,"12.7%"
Czechia,2012,2912,"12.5%"
Czechia,2013,3455,"18.6%"
Czechia,2014,4379,"26.7%"
Czechia,2015,5305,"21.1%"
Czechia,2016,5771,"8.8%"
Czechia,2017,5979,"3.6%"
Czechia,2018,5859,-2.0%
Czechia,2019,4372,-25.4%
Czechia,2020,6407,"46.5%"
Czechia,2021,7710,"20.3%"
Czechia,2022,8255,"7.1%"
Czechia,2023,7781,-5.7%
France,2000,1453,—
France,2001,1658,"14.1%"
France,2002,1924,"16.0%"
France,2003,2537,"31.9%"
France,2004,2597,"2.4%"
France,2005,2672,"2.9%"
France,2006,3083,"15.4%"
France,2007,3219,"4.4%"
France,2008,3347,"4.0%"
France,2009,3593,"7.3%"
France,2010,3822,"6.4%"
France,2011,4193,"9.7%"
France,2012,4300,"2.6%"
France,2013,3643,-15.3%
France,2014,3599,-1.2%
France,2015,3648,"1.4%"
France,2016,3555,-2.5%
France,2017,3691,"3.8%"
France,2018,2945,-20.2%
France,2019,2785,-5.4%
France,2020,2751,-1.2%
France,2021,2752,"0.0%"
France,2022,2685,-2.4%
France,2023,3001,"11.8%"
France,2024,3159,"5.3%"
United Kingdom,2000,1058,—
United Kingdom,2001,1370,"29.5%"
United Kingdom,2002,1461,"6.6%"
United Kingdom,2003,1601,"9.6%"
United Kingdom,2004,1878,"17.3%"
United Kingdom,2005,2027,"7.9%"
United Kingdom,2006,2187,"7.9%"
United Kingdom,2007,2580,"18.0%"
United Kingdom,2008,2646,"2.6%"
United Kingdom,2009,2953,"11.6%"
United Kingdom,2010,3159,"7.0%"
United Kingdom,2011,3303,"4.6%"
United Kingdom,2012,3574,"8.2%"
United Kingdom,2013,3604,"0.8%"
United Kingdom,2014,3933,"9.1%"
United Kingdom,2015,4092,"4.0%"
United Kingdom,2016,3974,-2.9%
United Kingdom,2017,3920,-1.4%
United Kingdom,2018,3752,-4.3%
United Kingdom,2019,3640,-3.0%
United Kingdom,2020,3376,-7.3%
United Kingdom,2021,3357,-0.6%
United Kingdom,2022,3331,-0.8%
United Kingdom,2023,3028,-9.1%
Finland,2000,656,—
Finland,2001,764,"16.5%"
Finland,2002,911,"19.2%"
Finland,2003,1079,"18.4%"
Finland,2004,1140,"5.7%"
Finland,2005,1127,-1.1%
Finland,2007,1182,"4.9%"
Finland,2008,1291,"9.2%"
Finland,2009,1378,"6.7%"
Finland,2010,1595,"15.7%"
Finland,2011,1776,"11.3%"
Finland,2012,2107,"18.6%"
Finland,2013,2206,"4.7%"
Finland,2014,2555,"15.8%"
Finland,2015,2799,"9.5%"
Finland,2016,2799,"0.0%"
Finland,2017,2733,-2.4%
Finland,2018,2344,-14.2%
Finland,2019,2017,-14.0%
Finland,2020,1728,-14.3%
Finland,2021,1996,"15.5%"
Finland,2022,2039,"2.2%"
Finland,2023,2026,-0.6%
Finland,2024,2066,"2.0%"
Kazakhstan,2000,728,—
Kazakhstan,2001,866,"19.0%"
Kazakhstan,2003,1659,"91.6%"
Kazakhstan,2004,2177,"31.2%"
Kazakhstan,2005,2516,"15.6%"
Kazakhstan,2006,2880,"14.5%"
Kazakhstan,2007,2857,-0.8%
Kazakhstan,2008,1914,-33.0%
Kazakhstan,2009,2074,"8.4%"
Kazakhstan,2010,3600,"73.6%"
Kazakhstan,2011,3373,-6.3%
Kazakhstan,2012,1993,-40.9%
Kazakhstan,2013,1315,-34.0%
Kazakhstan,2014,1202,-8.6%
Kazakhstan,2015,1270,"5.7%"
Kazakhstan,2016,1097,-13.6%
Kazakhstan,2017,1136,"3.6%"
Kazakhstan,2018,1234,"8.6%"
Kazakhstan,2019,1511,"22.4%"
Kazakhstan,2020,1487,-1.6%
Kazakhstan,2024,2123,"42.8%"
Armenia,2003,290,—
Armenia,2004,662,"128.3%"
Armenia,2005,477,-27.9%
Armenia,2006,680,"42.6%"
Armenia,2007,828,"21.8%"
Armenia,2008,967,"16.8%"
Armenia,2009,1331,"37.6%"
Armenia,2010,1175,-11.7%
Armenia,2011,1140,-3.0%
Armenia,2012,1062,-6.8%
Armenia,2013,903,-15.0%
Armenia,2014,1277,"41.4%"
Armenia,2015,1140,-10.7%
Armenia,2016,1268,"11.2%"
Armenia,2017,1357,"7.0%"
Armenia,2018,1255,-7.5%
Armenia,2019,1421,"13.2%"
Armenia,2020,1283,-9.7%
Armenia,2021,1782,"38.9%"
Armenia,2022,2082,"16.8%"
Armenia,2023,1923,-7.6%
Armenia,2024,2761,"43.6%"
Kyrgyzstan,2001,814,—
Kyrgyzstan,2002,245,-69.9%
Kyrgyzstan,2003,371,"51.4%"
Kyrgyzstan,2004,277,-25.3%
Kyrgyzstan,2005,362,"30.7%"
Kyrgyzstan,2006,356,-1.7%
Kyrgyzstan,2007,399,"12.1%"
Kyrgyzstan,2008,649,"62.7%"
Kyrgyzstan,2009,748,"15.3%"
Kyrgyzstan,2010,842,"12.6%"
Kyrgyzstan,2011,818,-2.9%
Kyrgyzstan,2012,847,"3.5%"
Kyrgyzstan,2013,927,"9.4%"
Kyrgyzstan,2014,1302,"40.5%"
Kyrgyzstan,2015,1377,"5.8%"
Kyrgyzstan,2016,1186,-13.9%
Kyrgyzstan,2017,910,-23.3%
Kyrgyzstan,2018,1535,"68.7%"
Kyrgyzstan,2019,1622,"5.7%"
Kyrgyzstan,2020,1844,"13.7%"
Kyrgyzstan,2021,2005,"8.7%"
Kyrgyzstan,2022,1672,-16.6%
Kyrgyzstan,2023,2474,"48.0%"
Kyrgyzstan,2024,2623,"6.0%"
Türkiye,2000,1004,—
Türkiye,2001,924,-8.0%
Türkiye,2002,846,-8.4%
Türkiye,2003,720,-14.9%
Türkiye,2004,662,-8.1%
Türkiye,2005,625,-5.6%
Türkiye,2006,604,-3.4%
Türkiye,2007,556,-7.9%
Türkiye,2008,524,-5.8%
Türkiye,2009,491,-6.3%
Türkiye,2010,495,"0.8%"
Türkiye,2011,516,"4.2%"
Türkiye,2012,567,"9.9%"
Türkiye,2013,60,-89.4%
Türkiye,2014,931,"1451.7%"
Türkiye,2015,1158,"24.4%"
Türkiye,2016,1275,"10.1%"
Türkiye,2017,1376,"7.9%"
Türkiye,2018,1431,"4.0%"
Türkiye,2019,1409,-1.5%
Türkiye,2020,1439,"2.1%"
Türkiye,2021,1648,"14.5%"
Türkiye,2022,1711,"3.8%"
Türkiye,2023,3083,"80.2%"
"Korea, Republic of",2000,77,—
"Korea, Republic of",2001,65,-15.6%
"Korea, Republic of",2002,100,"53.8%"
"Korea, Republic of",2003,153,"53.0%"
"Korea, Republic of",2004,166,"8.5%"
"Korea, Republic of",2005,185,"11.4%"
"Korea, Republic of",2006,254,"37.3%"
"Korea, Republic of",2007,243,-4.3%
"Korea, Republic of",2008,248,"2.1%"
"Korea, Republic of",2009,252,"1.6%"
"Korea, Republic of",2010,346,"37.3%"
"Korea, Republic of",2011,340,-1.7%
"Korea, Republic of",2012,330,-2.9%
"Korea, Republic of",2013,314,-4.8%
"Korea, Republic of",2014,320,"1.9%"
"Korea, Republic of",2015,349,"9.1%"
"Korea, Republic of",2016,420,"20.3%"
"Korea, Republic of",2017,443,"5.5%"
"Korea, Republic of",2018,473,"6.8%"
"Korea, Republic of",2019,481,"1.7%"
"Korea, Republic of",2020,505,"5.0%"
"Korea, Republic of",2021,614,"21.6%"
"Korea, Republic of",2022,787,"28.2%"
"Korea, Republic of",2023,1015,"29.0%"
"Korea, Republic of",2024,1351,"33.1%"
Andorra,2002,0,—
Andorra,2013,0,"0%"
Andorra,2015,0,"0%"
Andorra,2016,2,рост с 0 до 2 студентов
Andorra,2017,1,-50.0%
Andorra,2018,2,"100.0%"
Andorra,2019,2,"0.0%"
Andorra,2020,1,-50.0%
Andorra,2021,0,-100.0%
Andorra,2023,3,рост с 0 до 3 студентов
Andorra,2024,4,"33.3%"
Argentina,2000,0,—
Argentina,2016,110,рост с 0 до 110 студентов
Argentina,2017,131,"19.1%"
Argentina,2018,148,"13.0%"
Argentina,2019,148,"0.0%"
Argentina,2020,135,-8.8%
Argentina,2021,145,"7.4%"
Argentina,2022,123,-15.2%
Argentina,2023,185,"50.4%"
Aruba,2003,0,—
Aruba,2006,0,"0%"
Aruba,2009,0,"0%"
Aruba,2010,0,"0%"
Aruba,2011,0,"0%"
Aruba,2012,0,"0%"
Aruba,2013,2,рост с 0 до 2 студентов
Aruba,2014,2,"0.0%"
Aruba,2015,1,-50.0%
Aruba,2016,0,-100.0%
Australia,2000,207,—
Australia,2002,599,"189.4%"
Australia,2003,661,"10.4%"
Australia,2004,476,-28.0%
Australia,2005,447,-6.1%
Australia,2006,442,-1.1%
Australia,2007,530,"19.9%"
Australia,2008,618,"16.6%"
Australia,2009,764,"23.6%"
Australia,2010,846,"10.7%"
Australia,2011,889,"5.1%"
Australia,2012,897,"0.9%"
Australia,2013,968,"7.9%"
Australia,2014,1028,"6.2%"
Australia,2015,880,-14.4%
Australia,2016,859,-2.4%
Australia,2017,737,-14.2%
Australia,2018,796,"8.0%"
Australia,2019,708,-11.1%
Australia,2020,590,-16.7%
Australia,2021,473,-19.8%
Australia,2022,477,"0.8%"
Australia,2023,589,"23.5%"
Australia,2024,683,"16.0%"
Austria,2000,300,—
Austria,2001,341,"13.7%"
Austria,2002,263,-22.9%
Austria,2003,278,"5.7%"
Austria,2004,338,"21.6%"
Austria,2006,418,"23.7%"
Austria,2007,522,"24.9%"
Austria,2008,588,"12.6%"
Austria,2009,753,"28.1%"
Austria,2010,858,"13.9%"
Austria,2011,975,"13.6%"
Austria,2012,754,-22.7%
Austria,2013,1004,"33.2%"
Austria,2014,939,-6.5%
Austria,2015,1128,"20.1%"
Austria,2016,1257,"11.4%"
Austria,2017,1390,"10.6%"
Austria,2018,1447,"4.1%"
Austria,2019,1479,"2.2%"
Austria,2020,1539,"4.1%"
Austria,2021,1674,"8.8%"
Austria,2022,1793,"7.1%"
Austria,2023,1950,"8.8%"
Austria,2024,2345,"20.3%"
Azerbaijan,2006,171,—
Azerbaijan,2007,150,-12.3%
Azerbaijan,2008,158,"5.3%"
Azerbaijan,2009,224,"41.8%"
Azerbaijan,2010,263,"17.4%"
Azerbaijan,2011,221,-16.0%
Azerbaijan,2012,177,-19.9%
Azerbaijan,2013,232,"31.1%"
Azerbaijan,2014,213,-8.2%
Azerbaijan,2015,270,"26.8%"
Azerbaijan,2016,306,"13.3%"
Azerbaijan,2017,441,"44.1%"
Azerbaijan,2018,593,"34.5%"
Azerbaijan,2019,522,-12.0%
Azerbaijan,2020,481,-7.9%
Azerbaijan,2021,428,-11.0%
Azerbaijan,2022,477,"11.4%"
Azerbaijan,2023,451,-5.5%
Azerbaijan,2024,618,"37.0%"
Bahrain,2003,1,—
Bahrain,2005,0,-100.0%
Bahrain,2006,0,"0%"
Bahrain,2014,1,рост с 0 до 1 студентов
Bahrain,2015,2,"100.0%"
Bahrain,2016,3,"50.0%"
Bahrain,2017,5,"66.7%"
Bahrain,2018,3,-40.0%
Bahrain,2019,3,"0.0%"
Bahrain,2020,5,"66.7%"
Bahrain,2021,4,-20.0%
Bahrain,2022,3,-25.0%
Bahrain,2023,3,"0.0%"
Bahrain,2024,4,"33.3%"
Barbados,2001,0,—
Barbados,2007,0,"0%"
Barbados,2009,1,рост с 0 до 1 студентов
Barbados,2010,1,"0.0%"
Barbados,2011,1,"0.0%"
Belarus,2002,0,—
Belarus,2003,0,"0%"
Belarus,2004,0,"0%"
Belarus,2005,0,"0%"
Belarus,2006,0,"0%"
Belarus,2007,0,"0%"
Belarus,2008,2622,рост с 0 до 2622 студентов
Belarus,2009,2546,-2.9%
Belarus,2010,2543,-0.1%
Belarus,2011,2596,"2.1%"
Belarus,2012,2567,-1.1%
Belarus,2013,2061,-19.7%
Belarus,2014,2128,"3.3%"
Belarus,2015,1953,-8.2%
Belarus,2016,1578,-19.2%
Belarus,2017,1647,"4.4%"
Belarus,2018,1952,"18.5%"
Belarus,2019,1796,-8.0%
Belarus,2020,1912,"6.5%"
Belarus,2021,1902,-0.5%
Belarus,2022,1756,-7.7%
Belarus,2023,1804,"2.7%"
Belarus,2024,1901,"5.4%"
Belgium,2000,143,—
Belgium,2001,200,"39.9%"
Belgium,2002,271,"35.5%"
Belgium,2003,285,"5.2%"
Belgium,2004,0,-100.0%
Belgium,2005,89,рост с 0 до 89 студентов
Belgium,2006,73,-18.0%
Belgium,2007,132,"80.8%"
Belgium,2008,14,-89.4%
Belgium,2009,152,"985.7%"
Belgium,2010,188,"23.7%"
Belgium,2011,244,"29.8%"
Belgium,2012,244,"0.0%"
Belgium,2013,273,"11.9%"
Belgium,2014,264,-3.3%
Belgium,2015,213,-19.3%
Belgium,2016,287,"34.7%"
Belgium,2017,302,"5.2%"
Belgium,2018,180,-40.4%
Belgium,2019,43,-76.1%
Belgium,2020,302,"602.3%"
Belgium,2021,316,"4.6%"
Belgium,2022,312,-1.3%
Belgium,2023,284,-9.0%
Benin,2014,0,—
Benin,2015,0,"0%"
Benin,2016,0,"0%"
Benin,2017,0,"0%"
Benin,2018,0,"0%"
Benin,2019,1,рост с 0 до 1 студентов
Benin,2020,0,-100.0%
Benin,2021,0,"0%"
Benin,2022,0,"0%"
Bosnia and Herzegovina,2013,4,—
Bosnia and Herzegovina,2014,4,"0.0%"
Bosnia and Herzegovina,2015,6,"50.0%"
Bosnia and Herzegovina,2016,6,"0.0%"
Bosnia and Herzegovina,2017,4,-33.3%
Bosnia and Herzegovina,2018,9,"125.0%"
Bosnia and Herzegovina,2019,6,-33.3%
Bosnia and Herzegovina,2020,5,-16.7%
Bosnia and Herzegovina,2021,7,"40.0%"
Bosnia and Herzegovina,2022,11,"57.1%"
Bosnia and Herzegovina,2023,21,"90.9%"
Brazil,2002,4,—
Brazil,2003,2,-50.0%
Brazil,2004,4,"100.0%"
Brazil,2009,40,"900.0%"
Brazil,2010,33,-17.5%
Brazil,2011,36,"9.1%"
Brazil,2012,36,"0.0%"
Brazil,2014,47,"30.6%"
Brazil,2015,38,-19.1%
Brazil,2016,34,-10.5%
Brazil,2017,36,"5.9%"
Brazil,2018,45,"25.0%"
Brazil,2019,44,-2.2%
Brazil,2020,47,"6.8%"
Brazil,2021,52,"10.6%"
Brazil,2022,56,"7.7%"
Brazil,2023,58,"3.6%"
Brazil,2024,61,"5.2%"
Brunei Darussalam,2000,0,—
Brunei Darussalam,2001,0,"0%"
Brunei Darussalam,2004,0,"0%"
Brunei Darussalam,2005,0,"0%"
Brunei Darussalam,2006,0,"0%"
Brunei Darussalam,2007,0,"0%"
Brunei Darussalam,2008,0,"0%"
Brunei Darussalam,2009,0,"0%"
Brunei Darussalam,2010,0,"0%"
Brunei Darussalam,2011,0,"0%"
Brunei Darussalam,2012,1,рост с 0 до 1 студентов
Brunei Darussalam,2014,2,"100.0%"
Brunei Darussalam,2015,2,"0.0%"
Brunei Darussalam,2016,1,-50.0%
Brunei Darussalam,2017,1,"0.0%"
Brunei Darussalam,2018,3,"200.0%"
Brunei Darussalam,2019,2,-33.3%
Brunei Darussalam,2020,2,"0.0%"
Brunei Darussalam,2023,0,-100.0%
Bulgaria,2000,80,—
Bulgaria,2001,67,-16.3%
Bulgaria,2003,127,"89.6%"
Bulgaria,2004,112,-11.8%
Bulgaria,2005,88,-21.4%
Bulgaria,2006,93,"5.7%"
Bulgaria,2007,126,"35.5%"
Bulgaria,2008,142,"12.7%"
Bulgaria,2009,163,"14.8%"
Bulgaria,2010,200,"22.7%"
Bulgaria,2011,219,"9.5%"
Bulgaria,2012,235,"7.3%"
Bulgaria,2013,255,"8.5%"
Bulgaria,2014,269,"5.5%"
Bulgaria,2015,288,"7.1%"
Bulgaria,2016,301,"4.5%"
Bulgaria,2017,283,-6.0%
Bulgaria,2018,309,"9.2%"
Bulgaria,2019,315,"1.9%"
Bulgaria,2020,316,"0.3%"
Bulgaria,2021,312,-1.3%
Bulgaria,2022,335,"7.4%"
Bulgaria,2023,325,-3.0%
Bulgaria,2024,264,-18.8%
Canada,2000,273,—
Canada,2001,288,"5.5%"
Canada,2002,351,"21.9%"
Canada,2003,384,"9.4%"
Canada,2004,351,-8.6%
Canada,2005,348,-0.9%
Canada,2006,489,"40.5%"
Canada,2007,472,-3.5%
Canada,2008,527,"11.7%"
Canada,2009,504,-4.4%
Canada,2010,504,"0.0%"
Canada,2011,663,"31.5%"
Canada,2012,483,-27.1%
Canada,2013,1140,"136.0%"
Canada,2014,1554,"36.3%"
Canada,2015,1647,"6.0%"
Canada,2016,1704,"3.5%"
Canada,2017,1497,-12.1%
Canada,2018,1607,"7.3%"
Canada,2019,1383,-13.9%
Canada,2020,1473,"6.5%"
Canada,2021,1464,-0.6%
Canada,2022,1527,"4.3%"
Canada,2023,1242,-18.7%
Chile,2000,5,—
Chile,2002,10,"100.0%"
Chile,2003,6,-40.0%
Chile,2005,8,"33.3%"
Chile,2007,10,"25.0%"
Chile,2008,15,"50.0%"
Chile,2009,4,-73.3%
Chile,2010,14,"250.0%"
Chile,2012,2,-85.7%
Chile,2013,1,-50.0%
Chile,2014,2,"100.0%"
Chile,2015,6,"200.0%"
Chile,2016,1,-83.3%
Chile,2017,6,"500.0%"
Chile,2018,3,-50.0%
Chile,2019,7,"133.3%"
Chile,2020,8,"14.3%"
Chile,2021,10,"25.0%"
Chile,2022,11,"10.0%"
Chile,2023,10,-9.1%
Chile,2024,16,"60.0%"
