Страна,Год,Число студентов из РФ,Регион
Switzerland,2008,638,Europe
Switzerland,2009,675,Europe
Switzerland,2010,719,Europe
Switzerland,2011,792,Europe
Switzerland,2012,873,Europe
Switzerland,2013,594,Europe
Switzerland,2014,1021,Europe
Switzerland,2015,1011,Europe
Switzerland,2016,975,Europe
Switzerland,2017,969,Europe
Switzerland,2018,934,Europe
Switzerland,2019,954,Europe
Switzerland,2020,979,Europe
Switzerland,2021,1026,Europe
Switzerland,2022,1003,Europe
Switzerland,2023,1025,Europe
Switzerland,2024,1048,Europe
Chile,2000,5,Latin America
Chile,2002,10,Latin America
Chile,2003,6,Latin America
Chile,2005,8,Latin America
Chile,2007,10,Latin America
Chile,2008,15,Latin America
Chile,2009,4,Latin America
Chile,2010,14,Latin America
Chile,2012,2,Latin America
Chile,2013,1,Latin America
Chile,2014,2,Latin America
Chile,2015,6,Latin America
Chile,2016,1,Latin America
Chile,2017,6,Latin America
Chile,2018,3,Latin America
Chile,2019,7,Latin America
Chile,2020,8,Latin America
Chile,2021,10,Latin America
Chile,2022,11,Latin America
Chile,2023,10,Latin America
Chile,2024,16,Latin America
Côte d'Ivoire,2008,0,Africa
Côte d'Ivoire,2009,0,Africa
Côte d'Ivoire,2010,0,Africa
Côte d'Ivoire,2011,0,Africa
Côte d'Ivoire,2014,0,Africa
Côte d'Ivoire,2015,0,Africa
Côte d'Ivoire,2016,0,Africa
Côte d'Ivoire,2017,1,Africa
Côte d'Ivoire,2019,1,Africa
Côte d'Ivoire,2020,1,Africa
Côte d'Ivoire,2021,1,Africa
Côte d'Ivoire,2022,0,Africa
Côte d'Ivoire,2023,0,Africa
Côte d'Ivoire,2024,0,Africa
Congo,2003,0,Africa
Congo,2004,0,Africa
Congo,2013,3,Africa
Colombia,2014,23,Latin America
Colombia,2015,22,Latin America
Colombia,2016,10,Latin America
Colombia,2017,10,Latin America
Colombia,2018,11,Latin America
Colombia,2019,10,Latin America
Colombia,2020,5,Latin America
Colombia,2021,9,Latin America
Colombia,2022,7,Latin America
Costa Rica,2004,3,Latin America
Costa Rica,2008,10,Latin America
Costa Rica,2017,3,Latin America
Costa Rica,2018,5,Latin America
Cuba,2000,1,Latin America
Cuba,2001,1,Latin America
Cuba,2002,1,Latin America
Cuba,2004,0,Latin America
Cuba,2005,0,Latin America
Cuba,2006,0,Latin America
Cuba,2007,0,Latin America
Cuba,2009,0,Latin America
Cuba,2010,0,Latin America
Cuba,2011,0,Latin America
Cuba,2013,1,Latin America
Cuba,2014,0,Latin America
Cuba,2015,0,Latin America
Cuba,2016,0,Latin America
Cuba,2017,1,Latin America
Cuba,2018,1,Latin America
Cuba,2019,1,Latin America
Cuba,2020,6,Latin America
Cuba,2021,1,Latin America
Cuba,2023,1,Latin America
Cuba,2024,0,Latin America
Cyprus,2000,233,Asia
Cyprus,2001,208,Asia
Cyprus,2002,193,Asia
Cyprus,2003,197,Asia
Cyprus,2004,216,Asia
Cyprus,2005,228,Asia
Cyprus,2006,163,Asia
Cyprus,2007,183,Asia
Cyprus,2008,191,Asia
Cyprus,2009,192,Asia
Cyprus,2010,199,Asia
Cyprus,2011,187,Asia
Cyprus,2012,174,Asia
Cyprus,2013,134,Asia
Cyprus,2014,232,Asia
Cyprus,2015,171,Asia
Cyprus,2016,157,Asia
Cyprus,2017,157,Asia
Cyprus,2018,180,Asia
Cyprus,2019,156,Asia
Cyprus,2020,142,Asia
Cyprus,2021,186,Asia
Cyprus,2022,152,Asia
Cyprus,2023,366,Asia
Cyprus,2024,433,Asia
Czechia,2000,110,Europe
Czechia,2001,160,Europe
Czechia,2002,203,Europe
Czechia,2003,305,Europe
Czechia,2004,407,Europe
Czechia,2005,609,Europe
Czechia,2006,782,Europe
Czechia,2007,1088,Europe
Czechia,2008,1405,Europe
Czechia,2009,1768,Europe
Czechia,2010,2297,Europe
Czechia,2011,2588,Europe
Czechia,2012,2912,Europe
Czechia,2013,3455,Europe
Czechia,2014,4379,Europe
Czechia,2015,5305,Europe
Czechia,2016,5771,Europe
Czechia,2017,5979,Europe
Czechia,2018,5859,Europe
Czechia,2019,4372,Europe
Czechia,2020,6407,Europe
Czechia,2021,7710,Europe
Czechia,2022,8255,Europe
Czechia,2023,7781,Europe
Germany,2013,9480,Europe
Germany,2014,9668,Europe
Germany,2015,9953,Europe
Germany,2016,9711,Europe
Germany,2017,9620,Europe
Germany,2018,10121,Europe
Germany,2019,9646,Europe
Germany,2020,11055,Europe
Germany,2021,11149,Europe
Germany,2022,11369,Europe
Germany,2023,11024,Europe
Germany,2024,10974,Europe
Denmark,2000,113,Europe
Denmark,2001,122,Europe
Denmark,2002,187,Europe
Denmark,2003,317,Europe
Denmark,2004,71,Europe
Denmark,2005,74,Europe
Denmark,2006,74,Europe
Denmark,2007,72,Europe
Denmark,2008,56,Europe
Denmark,2009,72,Europe
Denmark,2010,97,Europe
Denmark,2011,93,Europe
Denmark,2012,102,Europe
Denmark,2013,187,Europe
Denmark,2014,186,Europe
Denmark,2015,195,Europe
Denmark,2016,189,Europe
Denmark,2017,156,Europe
Denmark,2018,138,Europe
Denmark,2019,128,Europe
Denmark,2020,120,Europe
Denmark,2021,121,Europe
Denmark,2022,131,Europe
Denmark,2023,126,Europe
Denmark,2024,118,Europe
Dominican Republic,2012,4,Latin America
Dominican Republic,2014,3,Latin America
Dominican Republic,2015,4,Latin America
Dominican Republic,2016,8,Latin America
Dominican Republic,2017,7,Latin America
Dominican Republic,2020,7,Latin America
Dominican Republic,2021,7,Latin America
Dominican Republic,2022,4,Latin America
Dominican Republic,2023,10,Latin America
Dominican Republic,2024,9,Latin America
Ecuador,2012,22,Latin America
Ecuador,2014,11,Latin America
Ecuador,2015,19,Latin America
Ecuador,2016,19,Latin America
Ecuador,2018,16,Latin America
Ecuador,2019,18,Latin America
Ecuador,2020,0,Latin America
Ecuador,2022,0,Latin America
Ecuador,2023,18,Latin America
Egypt,2013,231,Africa
Egypt,2014,210,Africa
Egypt,2016,216,Africa
Egypt,2020,211,Africa
Egypt,2024,143,Africa
Spain,2000,93,Europe
Spain,2001,112,Europe
Spain,2002,148,Europe
Spain,2003,218,Europe
Spain,2004,61,Europe
Spain,2005,77,Europe
Spain,2006,135,Europe
Spain,2007,136,Europe
Spain,2008,329,Europe
Spain,2009,485,Europe
Spain,2010,643,Europe
Spain,2011,665,Europe
Spain,2012,718,Europe
Spain,2013,733,Europe
Spain,2016,485,Europe
Spain,2017,597,Europe
Spain,2018,655,Europe
Spain,2019,682,Europe
Spain,2020,670,Europe
Spain,2021,678,Europe
Spain,2022,717,Europe
Spain,2023,781,Europe
Spain,2024,798,Europe
Estonia,2000,119,Europe
Estonia,2001,48,Europe
Estonia,2002,106,Europe
Estonia,2003,101,Europe
Estonia,2004,99,Europe
Estonia,2005,79,Europe
Estonia,2006,79,Europe
Estonia,2007,93,Europe
Estonia,2008,51,Europe
Estonia,2009,57,Europe
Estonia,2010,0,Europe
Estonia,2011,149,Europe
Estonia,2012,127,Europe
Estonia,2013,168,Europe
Estonia,2014,187,Europe
Estonia,2015,230,Europe
Estonia,2016,255,Europe
Estonia,2017,288,Europe
Estonia,2018,303,Europe
Estonia,2019,396,Europe
Estonia,2020,468,Europe
Estonia,2021,485,Europe
Estonia,2022,541,Europe
Estonia,2023,451,Europe
Estonia,2024,313,Europe
Finland,2000,656,Europe
Finland,2001,764,Europe
Finland,2002,911,Europe
Finland,2003,1079,Europe
Finland,2004,1140,Europe
Finland,2005,1127,Europe
Finland,2007,1182,Europe
Finland,2008,1291,Europe
Finland,2009,1378,Europe
Finland,2010,1595,Europe
Finland,2011,1776,Europe
Finland,2012,2107,Europe
Finland,2013,2206,Europe
Finland,2014,2555,Europe
Finland,2015,2799,Europe
Finland,2016,2799,Europe
Finland,2017,2733,Europe
Finland,2018,2344,Europe
Finland,2019,2017,Europe
Finland,2020,1728,Europe
